fr24_id,orig_icao,dest_icao_actual,datetime_takeoff,step_landed,hex
3d53e15d,LIBD,EPKK,2025-12-01T12:47:17Z,2867,48C134
3d53db3b,LFSB,EPKK,2025-12-01T12:50:09Z,2891,471DBF
3d53b886,EGSS,EPKK,2025-12-01T12:40:18Z,2948,4CAE95
3d53e917,ESSA,EPKK,2025-12-01T13:10:30Z,2995,4D2302
3d53f26e,ESGG,EPKK,2025-12-01T13:18:16Z,3019,4D224F
3d5383af,LQSA,EPKK,2025-12-01T10:06:21Z,3061,48D847
3d542ce4,EPWA,EPKK,2025-12-01T14:40:24Z,3192,48AD10
3d53db33,LEAL,EPKK,2025-12-01T12:39:54Z,3339,4D2262
3d542212,LRBS,EPKK,2025-12-01T14:30:09Z,3385,48C22E
3d5401f3,EGNM,EPKK,2025-12-01T13:39:24Z,3401,4CA645
3d54160f,LFSB,EPKK,2025-12-01T14:09:27Z,3422,4B1A24
3d5436d8,EDDM,EPKK,2025-12-01T14:50:31Z,3442,3C666C
3d53f47a,EGGP,EPKK,2025-12-01T13:27:01Z,3462,408067
3d5423ab,LIME,EPKK,2025-12-01T14:26:53Z,3476,48C2B8
3d540195,EGPH,EPKK,2025-12-01T13:39:51Z,3492,4CA701
3d5382f9,LLBG,EPKK,2025-12-01T12:59:43Z,3614,738062
3d546726,EPWA,EPKK,2025-12-01T15:51:48Z,3634,48ADAE
3d543ab7,EHEH,EPKK,2025-12-01T14:51:23Z,3646,4D204A
3d54281a,LICC,EPKK,2025-12-01T14:29:15Z,3661,4D2303
3d543c4c,ENGM,EPKK,2025-12-01T14:52:53Z,3678,4D200E
3d543358,EGBB,EPKK,2025-12-01T14:39:08Z,3753,408213
3d54334a,EGGW,EPKK,2025-12-01T14:56:58Z,3795,4D2214
3d5438c7,LTFM,EPKK,2025-12-01T15:09:41Z,3816,4BA915
3d545c17,LIRP,EPKK,2025-12-01T15:40:57Z,3924,48C133
3d545e5d,ENTO,EPKK,2025-12-01T15:39:25Z,3939,48C2A9
3d544cfa,EGNM,EPKK,2025-12-01T15:16:28Z,4000,40104F
3d5445eb,EGCC,EPKK,2025-12-01T15:16:26Z,4014,40820F
3d547a7b,LIPQ,EPKK,2025-12-01T16:18:36Z,4030,48C235
3d54735b,EDDF,EPKK,2025-12-01T16:11:22Z,4057,3C6584
3d546586,LFLL,EPKK,2025-12-01T15:46:59Z,4089,4D245F
3d547876,EHAM,EPKK,2025-12-01T16:11:25Z,4122,48548E
3d5458db,EGPF,EPKK,2025-12-01T15:31:01Z,4145,40753F
3d547226,LFML,EPKK,2025-12-01T15:56:00Z,4173,48C1A6
3d5465b5,EGNT,EPKK,2025-12-01T15:48:11Z,4200,407E7D
3d53c825,GCTS,EPKK,2025-12-01T12:29:52Z,4225,48C2AD
3d547bd7,LFOB,EPKK,2025-12-01T16:18:48Z,4250,48C22D
3d547458,EGNX,EPKK,2025-12-01T16:07:13Z,4277,4CA84D
3d54bcfd,EPSY,EPKK,2025-12-01T17:42:15Z,4336,48AD10
3d5436d4,LPFR,EPKK,2025-12-01T14:47:10Z,4384,4CAF27
3d54a132,EHAM,EPKK,2025-12-01T17:11:34Z,4491,4864EA
3d54a5c7,EBCI,EPKK,2025-12-01T17:12:23Z,4510,4CADFC
3d549e76,LFPG,EPKK,2025-12-01T17:00:35Z,4532,4400E3
3d54a7a9,LSGG,EPKK,2025-12-01T17:16:03Z,4555,4B1A2A
3d54b942,LATI,EPKK,2025-12-01T17:41:55Z,4609,48C12B
3d549edd,LIEE,EPKK,2025-12-01T17:08:00Z,4639,48C126
3d54b158,EGCC,EPKK,2025-12-01T17:33:51Z,4808,4CAEE8
3d54b2da,EGCC,EPKK,2025-12-01T17:39:06Z,4837,406E65
3d54ae47,EGGD,EPKK,2025-12-01T17:30:47Z,4867,406909
3d542727,OMSJ,EPKK,2025-12-01T14:19:51Z,4980,89671C
3d54c939,EGSS,EPKK,2025-12-01T18:20:51Z,5000,4CADFF
3d54c399,EGAA,EPKK,2025-12-01T17:47:10Z,5032,406D8D
3d551ae5,EPWA,EPKK,2025-12-01T19:55:26Z,5081,48ADAB
3d550dcb,EVRA,EPKK,2025-12-01T19:40:48Z,5233,48C2B2
3d54fc26,ENBR,EPKK,2025-12-01T19:14:12Z,5356,4D24AE
3d54eed3,EGGD,EPKK,2025-12-01T19:23:35Z,5497,48C134
3d551aa8,LFPO,EPKK,2025-12-01T19:46:13Z,5520,48AF02
3d551d7f,EDJA,EPKK,2025-12-01T20:28:27Z,5537,4D2260
3d55369c,EDDF,EPKK,2025-12-01T20:33:25Z,5596,3C6447
3d553b53,LIPH,EPKK,2025-12-01T20:35:18Z,5616,48C235
3d553b74,LIRA,EPKK,2025-12-01T20:38:52Z,5709,48C2A9
3d54fc56,LEVC,EPKK,2025-12-01T19:22:12Z,5775,4CAD29
3d5563ac,LOWW,EPKK,2025-12-01T21:27:03Z,5811,4AB569
3d5542d0,ENGM,EPKK,2025-12-01T20:46:29Z,5838,4D204A
3d55348a,EGKK,EPKK,2025-12-01T20:30:38Z,5862,471DBF
3d553386,LICC,EPKK,2025-12-01T20:38:32Z,5886,48C22E
3d5585b6,EPWA,EPKK,2025-12-01T22:31:12Z,6015,48ADB9
3d556618,LIMJ,EPKK,2025-12-01T21:28:45Z,6042,4D245F
3d556936,EHEH,EPKK,2025-12-01T21:38:09Z,6062,48C1A6
3d5576f7,LIBP,EPKK,2025-12-01T22:07:41Z,6250,48C22D
3d555f29,EIDW,EPKK,2025-12-01T21:29:34Z,6328,4D2303
3d557f60,LICA,EPKK,2025-12-01T22:07:00Z,6357,48C2AD
